,Candidate,State,Primary..,Neutral.Endorsements,Yes.Endorsements,No.Endorsements,Office.Type_Governor,Office.Type_Representative,Office.Type_Senator,Primary.Status_Advanced,Race_Nonwhite,Race_Unknown,Race_White,Veteran._No,Veteran._Unknown,Veteran._Yes,LGBTQ._No,LGBTQ._Unknown,LGBTQ._Yes,Elected.Official._Yes,Self.Funder._Yes,STEM._No,STEM._Unknown,STEM._Yes,Obama.Alum._Yes,Party.Support._Neutral,Party.Support._No,Party.Support._Yes
157,Aaron Swisher,ID,67.599998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
158,Peter Rickards,ID,32.400002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
159,Bob Daiber,IL,1.1,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
160,Chris Kennedy,IL,24.4,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
161,Daniel K. Biss,IL,26.700001,10,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
162,J.B. Pritzker,IL,45.099998,10,0,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
163,Robert Marshall,IL,1.1,10,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
164,Tio Hardiman,IL,1.6,10,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
165,Brendan Kelly,IL,81.0,10,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
166,David Bequette,IL,19.0,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
167,Angel Sides,IL,4.1999998,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
168,Betsy Londrigan,IL,45.700001,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
169,David Gill,IL,14.4,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
170,Erik Jones,IL,22.4,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
171,Jonathan Ebel,IL,13.3,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
172,Daniel Roldan-Johnson,IL,2.3,8,0,4,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
173,George Weber,IL,5.0,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
174,Jim Walz,IL,10.0,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
175,John Hosta,IL,5.0,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
176,Lauren Underwood,IL,57.299999,8,3,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
177,Matt Brolley,IL,13.4,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
178,Victor Swanson,IL,7.0,8,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
179,Carl Spoerer,IL,37.900002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
180,Kevin Gaither,IL,62.099998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
181,Amy Murri Briel,IL,19.5,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
182,Beth Vercolio-Osmund,IL,13.0,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
183,Neill Mohammad,IL,27.200001,11,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
184,Sara Dady,IL,40.299999,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
185,Brian Deters,IL,39.5,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
186,Darrel Miller,IL,18.799999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
187,Junius Rodriguez,IL,41.700001,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
188,Jesus Garcia,IL,66.199997,9,2,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
189,Richard Gonzalez,IL,11.9,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
190,Sol Flores,IL,21.9,9,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
191,Amanda Howland,IL,12.7,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
192,Becky Anderson Wilkins,IL,6.0,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
193,Carole Cheney,IL,17.4,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
194,Jennifer Zordani,IL,4.099999899999999,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
195,Kelly Mazeski,IL,26.799999,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
196,Ryan Huffman,IL,3.5,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
197,Sean Casten,IL,29.5,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
198,Douglas Carpenter,IN,5.3000002,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
199,John Petroff,IN,1.5,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
200,Mel Hall,IN,41.700001,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
201,Pat Hackett,IN,28.200001,11,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
202,Roland Leech,IN,1.2,11,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
203,Yatish Joshi,IN,22.1,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
204,Courtney Tritch,IN,79.099998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
205,John Roberson,IN,10.2,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
206,Tommy Schrader,IN,10.7,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
207,Darin Patrick Griesey,IN,6.6999998,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
208,Joe Mackey,IN,16.1,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
209,Roger Day,IN,12.4,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
210,Roland Ellis,IN,9.1999998,12,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
211,Tobi Beck,IN,34.599998,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
212,Veronikka Ziol,IN,21.1,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
213,Dee Thornton,IN,53.0,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
214,Dion Douglas,IN,10.3,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
215,Eshel Faraggi,IN,7.599999900000001,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
216,Kyle Brenden Moore,IN,23.700001,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
217,Sean Dugdale,IN,5.5,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
218,George Thomas Holland,IN,11.1,12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
219,Jeannine Lee Lake,IN,38.299999,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
220,Jim Pruett,IN,25.799999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
221,Joshua Williamson,IN,7.3000002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
222,K. Lave,IN,1.9,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
223,Lane Siekman,IN,15.6,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
224,William Tanoos,IN,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
225,Daniel Canon,IN,30.700001,7,1,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
226,Liz Watson,IN,66.400002,7,4,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
227,Rob Chatlos,IN,2.9000001,7,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
228,Arden Andersen,KS,7.900000099999999,10,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
229,Carl Brewer,KS,20.6,10,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
230,Jack Bergeson,KS,2.5999999,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
231,Joshua Svaty,KS,17.799999,10,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
232,Laura Kelly,KS,51.400002,10,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
233,Alan LaPolice,KS,100.0,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
234,Paul Davis,KS,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
235,Brent Welder,KS,33.900002,5,5,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
236,Jay Sidie,KS,2.9000001,5,0,7,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
237,Mike McCamon,KS,6.900000099999999,5,0,7,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
238,Sharice Davids,KS,37.299999,5,2,5,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
239,Sylvia Williams,KS,4.6999998,5,0,7,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
240,Tom Niermann,KS,14.3,5,1,6,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
241,James Thompson,KS,65.300003,8,4,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
242,Laura Lombard,KS,34.700001,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
243,Alonzo Pennington,KY,25.4,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
244,Paul Walker,KY,74.599998,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
245,Brian Pedigo,KY,28.68,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
246,Grant Short,KY,19.59,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
247,Hank Linderman,KY,30.02,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
248,Rane Eir Olivia Sessions,KY,21.719998999999998,11,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
249,Christina Lord,KY,21.709999,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
250,Patti Piatt,KY,37.529999,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
251,Seth Hall,KY,40.77,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
252,Kenneth Stepp,KY,58.689999,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
253,Scott Sykes,KY,41.310001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
254,Amy McGrath,KY,48.66,11,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
255,Daniel Kemph,KY,1.23,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
256,Geoff Young,KY,1.5700001000000001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
257,Jim Gray,KY,40.509997999999996,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
258,Reggie Thomas,KY,7.1999998,11,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
259,Theodore Green,KY,0.82999998,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
260,Alec Ross,MD,2.3,6,1,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
261,Ben Jealous,MD,39.599998,6,5,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
262,James Jones,MD,1.5,6,0,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
263,Jim Shea (Maryland),MD,8.300000200000001,6,1,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
264,Krishanti Vignarajah,MD,8.199999799999999,6,1,5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
265,Ralph Jaffe,MD,1.6,6,0,6,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
266,Richard Madaleno,MD,5.8000002,6,1,5,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
267,Rushern Baker III,MD,29.4,6,1,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
268,Allison Galbraith,MD,28.0,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
269,Erik Lane,MD,2.2,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
270,Jesse Colvin,MD,38.0,9,2,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
271,Michael Brown,MD,15.0,9,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
272,Michael Pullen,MD,12.9,9,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
273,Steve Worton,MD,3.9000001,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
274,Andrew Duck,MD,4.9000001,7,1,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
275,Aruna Miller,MD,30.700001,7,2,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
276,Chris Graves,MD,1.6,7,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
277,Christopher Hearsey,MD,0.89999998,7,1,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
278,David Trone,MD,40.299999,7,1,4,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
279,George English,MD,1.1,7,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
280,Nadia Hashimi,MD,10.4,7,1,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
281,Roger Manno,MD,10.3,7,4,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
282,Adam Cote,ME,28.129998999999998,9,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
283,Betsy Sweet,ME,16.459999,9,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
284,Diane Russell,ME,2.1600001,9,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
285,Donna Dion,ME,1.27,9,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
286,Janet T. Mills,ME,33.09,9,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
287,Mark Dion,ME,4.1199999,9,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
288,Mark Eves,ME,14.18,9,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
289,Craig Olson,ME,8.8299999,10,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
290,Jared Golden,ME,46.419998,10,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
291,Lucas St. Clair,ME,39.240002000000004,10,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
292,Zak Ringelstein,ME,100.0,11,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
293,Abdul El-Sayed,MI,30.5,6,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
294,Gretchen Whitmer,MI,51.799999,6,2,4,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
295,Shri Thanedar,MI,17.700001,6,1,5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
296,Frank Accavitti Jr.,MI,32.0,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
297,Kimberly Bizon,MI,41.099998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
298,Michael McCarthy (Michigan),MI,26.9,12,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
299,Fayrouz Saad,MI,19.5,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
300,Haley Stevens,MI,27.0,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
301,Nancy Skinner,MI,10.4,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
302,Suneel Gupta,MI,21.299999,11,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
303,Tim Greimel,MI,21.799999,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
304,Bill Wild,MI,14.0,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
305,Bill Wild,MI,15.2,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
306,Brenda Jones,MI,37.700001,9,0,3,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
307,Brenda Jones,MI,29.200001,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
308,Coleman Young II,MI,12.0,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
309,Ian Conyers,MI,6.3000002,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
310,Ian Conyers,MI,11.2,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
311,Rashida Tlaib,MI,33.200001,8,3,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
312,Rashida Tlaib,MI,35.900002,8,3,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
313,Shanelle Jackson,MI,5.3000002,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
314,Rob Davidson,MI,100.0,8,4,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
315,Cathy Albro,MI,68.199997,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
316,Fred Wooden,MI,31.799999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
317,Jerry Hilliard,MI,66.400002,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
318,Zigmond Kozicki,MI,33.599998,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
319,David Benac,MI,21.700001,9,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
320,George Franklin,MI,28.1,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
321,Matt Longjohn,MI,37.299999,9,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
